city,state_id,state_name,latitude,longitude,population,population_proper,density
Prairie Ridge,WA,Washington,47.1443,-122.1408,,,1349.8
Edison,WA,Washington,48.5602,-122.4311,,,127.4
Packwood,WA,Washington,46.6085,-121.6702,,,213.9
Wautauga Beach,WA,Washington,47.5862,-122.5482,,,261.7
Harper,WA,Washington,47.5207,-122.5196,,,342.1
Telma,WA,Washington,47.8432,-120.8157,,,1.4
Kahlotus,WA,Washington,46.6436,-118.5566,189,189,156
Mondovi,WA,Washington,47.6813,-118.0164,,,9.4
Washtucna,WA,Washington,46.7539,-118.3104,195,195,108
Pleasant Hill,WA,Washington,47.6154,-121.9096,,,25.8
Toledo,WA,Washington,46.4412,-122.8494,738,738,708
Wabash,WA,Washington,47.2429,-122.0576,,,56.2
Renton,WA,Washington,47.4757,-122.1904,100953,100953,1663
Chehalis,WA,Washington,46.6649,-122.966,7498,7498,523
Central Valley,WA,Washington,47.6632,-122.6499,,,157.5
Lake City,WA,Washington,47.1487,-122.5512,,,1944.4
Megler,WA,Washington,46.2509,-123.8576,,,9.9
Alder,WA,Washington,46.7872,-122.2666,,,14.4
Ronald,WA,Washington,47.2338,-121.0335,,,187.8
Belvedere,WA,Washington,48.0499,-118.985,,,4.6
Waverly,WA,Washington,47.338,-117.2313,110,110,102
Turner Corner,WA,Washington,47.8045,-122.1435,,,161
Lofall,WA,Washington,47.8113,-122.6564,,,260.6
Kennydale,WA,Washington,47.5207,-122.2068,,,2263.7
Easton,WA,Washington,47.2405,-121.1733,,,122.5
Navy Yard City,WA,Washington,47.5508,-122.6654,,,1659.8
Mercer Island,WA,Washington,47.5624,-122.2265,25134,25134,1535
Lynnwood,WA,Washington,47.8285,-122.3034,38092,38092,1873
Coulee City,WA,Washington,47.6123,-119.289,569,569,243
Douglas,WA,Washington,47.6212,-120.0048,,,16.4
Centralia,WA,Washington,46.7226,-122.9695,41077,16982,875
Colbert,WA,Washington,47.8266,-117.3419,,,115.6
Bryn Mawr,WA,Washington,47.5034,-122.2329,,,2502.5
Silverdale,WA,Washington,47.6663,-122.6828,,,595.7
Lyle,WA,Washington,45.6956,-121.2805,,,579.9
Malott,WA,Washington,48.2919,-119.6954,,,155.5
Mountlake Terrace,WA,Washington,47.7921,-122.3077,21182,21182,2015
Ilwaco,WA,Washington,46.3099,-124.0417,929,929,170
Fairwood,WA,Washington,47.4467,-122.143,,,1858.6
Warm Beach,WA,Washington,48.1649,-122.3442,,,693
Thomas,WA,Washington,47.3537,-122.229,,,158.9
Parker,WA,Washington,46.5022,-120.4668,,,14.8
Steptoe,WA,Washington,47.0075,-117.3502,,,90.9
Vail,WA,Washington,46.8451,-122.6562,,,106.3
Magnolia Beach,WA,Washington,47.382,-122.4832,,,182.7
Lakeview,WA,Washington,47.1593,-122.4982,,,2782.1
Shaw Island,WA,Washington,48.5843,-122.9291,,,17
Oakesdale,WA,Washington,47.1304,-117.2465,435,435,161
Rosburg,WA,Washington,46.3076,-123.6344,,,11.1
Seattle,WA,Washington,47.6217,-122.3238,3541236,704352,3243
Onalaska,WA,Washington,46.5782,-122.7112,,,462
George,WA,Washington,47.0847,-119.8601,495,495,143
Index,WA,Washington,47.8214,-121.556,199,199,340
Winchester,WA,Washington,47.249,-119.7198,,,16.7
Chelatchie,WA,Washington,45.9279,-122.3795,,,20.2
Allentown,WA,Washington,47.4943,-122.2762,,,1653.6
Novelty,WA,Washington,47.709,-121.9846,,,12
Rosalia,WA,Washington,47.2365,-117.3762,565,565,354
Richmond Beach,WA,Washington,47.7695,-122.3901,,,2048.9
Lakota,WA,Washington,47.3329,-122.3723,,,526.2
Liberty Lake,WA,Washington,47.6687,-117.1031,9209,9209,579
Airway Heights,WA,Washington,47.6464,-117.5802,6672,6672,500
Reardan,WA,Washington,47.67,-117.8778,567,567,447
Silvana,WA,Washington,48.2018,-122.2461,,,25.9
Brier,WA,Washington,47.7924,-122.2736,6743,6743,1196
Robe,WA,Washington,48.0973,-121.8135,,,38.7
Elk Plain,WA,Washington,47.0448,-122.3671,,,105.5
Port Townsend,WA,Washington,48.1219,-122.7873,8782,9527,527
Ocean City,WA,Washington,47.0762,-124.1619,,,44.7
Boulevard Park,WA,Washington,47.5135,-122.3158,,,1426.1
Newhalem,WA,Washington,48.6737,-121.2473,,,20.9
Ford,WA,Washington,47.9082,-117.8058,,,2.6
Waterville,WA,Washington,47.648,-120.0707,1181,1181,521
Quinault,WA,Washington,47.467,-123.8455,,,33
Humptulips,WA,Washington,47.2491,-123.9348,,,49.8
Hamilton,WA,Washington,48.5281,-121.9837,299,299,103
Oak Harbor,WA,Washington,48.2965,-122.6331,34689,23204,928
Naches,WA,Washington,46.727,-120.6941,823,823,462
Anacortes,WA,Washington,48.4878,-122.6291,17667,16681,548
Kettle Falls,WA,Washington,48.6055,-118.0612,1604,1604,551
Walnut Grove,WA,Washington,45.6769,-122.6072,,,1575
Salkum,WA,Washington,46.5321,-122.6259,,,72.1
Cunningham,WA,Washington,46.8221,-118.8064,,,8.3
Irby,WA,Washington,47.3593,-118.8511,,,2
Electric City,WA,Washington,47.9222,-119.0476,1001,1001,195
Burbank,WA,Washington,46.1991,-118.9728,,,640.5
Silver Lake,WA,Washington,46.2973,-122.8107,,,45.1
Dash Point,WA,Washington,47.313,-122.4153,,,1057.7
Woods Creek,WA,Washington,47.8821,-121.8982,,,173.1
McKenna,WA,Washington,46.9366,-122.5501,,,337.2
Island View,WA,Washington,46.2393,-119.2233,,,584
Kalama,WA,Washington,46.0115,-122.8369,3508,2484,346
Grandview,WA,Washington,46.2432,-119.9082,18909,11159,686
Winthrop,WA,Washington,48.4719,-120.179,430,430,176
Maltby,WA,Washington,47.8026,-122.1044,,,80.4
Spangle,WA,Washington,47.4297,-117.3813,297,297,322
Blanchard,WA,Washington,48.5934,-122.4166,,,39.7
Artondale,WA,Washington,47.3023,-122.6398,,,350.1
May Creek,WA,Washington,47.8555,-121.6742,,,301.6
Home,WA,Washington,47.279,-122.7744,,,198.6
Vashon,WA,Washington,47.4122,-122.4726,,,386.3
Snoqualmie Falls,WA,Washington,47.5398,-121.8098,,,1.6
Laurier,WA,Washington,48.9974,-118.2247,,,5.1
Quincy,WA,Washington,47.2342,-119.8512,7644,7387,572
Lake McMurray,WA,Washington,48.3129,-122.2317,,,122.2
Martha Lake,WA,Washington,47.8479,-122.2327,,,2050.6
Ariel,WA,Washington,45.9568,-122.5709,,,54.8
Loon Lake,WA,Washington,48.0686,-117.6299,,,133.7
Thornton,WA,Washington,47.1207,-117.3896,,,10.7
Starbuck,WA,Washington,46.5184,-118.1251,126,126,234
Mirrormont,WA,Washington,47.4616,-121.9936,,,582.8
Kelso,WA,Washington,46.1249,-122.8907,12047,12047,571
Meadowdale,WA,Washington,47.8584,-122.3161,,,450.5
Cottage Lake,WA,Washington,47.7465,-122.0755,,,880.7
Cheney,WA,Washington,47.49,-117.5789,12213,12237,1086
Woodway,WA,Washington,47.7906,-122.3849,1377,1377,480
Lacey,WA,Washington,47.0444,-122.7933,47688,47688,1139
Harrah,WA,Washington,46.407,-120.5422,624,624,1119
Allyn,WA,Washington,47.3863,-122.8386,,,301.1
South Bend,WA,Washington,46.6683,-123.8016,1636,1636,388
Barstow,WA,Washington,48.7783,-118.1329,,,10.7
Tiger,WA,Washington,48.6916,-117.4077,,,26.3
Warden,WA,Washington,46.9682,-119.0512,2706,2719,394
Junction City,WA,Washington,46.9712,-123.7651,,,1.8
Blyn,WA,Washington,48.0131,-122.9897,,,42.8
Lakebay,WA,Washington,47.257,-122.7585,,,51.7
Tahuya,WA,Washington,47.3712,-123.0557,,,155
Selah,WA,Washington,46.648,-120.5388,7768,7768,657
Kitsap Lake,WA,Washington,47.5829,-122.7085,,,571.9
Sultan,WA,Washington,47.8703,-121.8036,8681,5059,620
Plain,WA,Washington,47.7626,-120.6573,,,10.2
Tanner,WA,Washington,47.4813,-121.6925,,,206.5
Edmonds,WA,Washington,47.8114,-122.3534,41840,41840,1814
North Hill,WA,Washington,47.4193,-122.3235,,,2208.6
Zillah,WA,Washington,46.4085,-120.273,3144,3144,657
Monse,WA,Washington,48.1413,-119.6778,,,7.9
Lake Forest Park,WA,Washington,47.7592,-122.2877,13266,13266,1449
Marlin,WA,Washington,47.4074,-118.985,,,23.8
Chinook,WA,Washington,46.2755,-123.9425,,,323.8
Albion,WA,Washington,46.792,-117.2506,591,591,642
Skykomish,WA,Washington,47.7103,-121.3585,206,206,246
Yakima,WA,Washington,46.5926,-120.5492,133687,93986,1313
Pacific,WA,Washington,47.261,-122.2507,7122,7122,1141
Wishram,WA,Washington,45.6599,-120.9698,,,106.8
Cascade Valley,WA,Washington,47.1406,-119.3289,,,576.1
Cathcart,WA,Washington,47.8525,-122.1058,,,214
Brush Prairie,WA,Washington,45.7251,-122.5483,,,119.5
Amboy,WA,Washington,45.9122,-122.4795,,,120.2
Centerville,WA,Washington,45.754,-120.908,,,37.3
Verlot,WA,Washington,48.1003,-121.7679,,,27.5
Alstown,WA,Washington,47.561,-119.9951,,,1
Synarep,WA,Washington,48.521,-119.3309,,,4.2
Annapolis,WA,Washington,47.5476,-122.6207,,,1582
Port Gamble,WA,Washington,47.8543,-122.5838,,,138.5
Eatonville,WA,Washington,46.8682,-122.2697,3005,2959,626
Similk Beach,WA,Washington,48.4479,-122.5779,,,269.4
Cougar,WA,Washington,46.0515,-122.2995,,,52.9
Eglon,WA,Washington,47.8626,-122.5146,,,72.7
Paterson,WA,Washington,45.9371,-119.6028,,,43.3
Tenino,WA,Washington,46.8538,-122.8603,1819,1819,488
Minnehaha,WA,Washington,45.6576,-122.6204,,,1002.8
Raymond,WA,Washington,46.6841,-123.7375,4066,2871,272
Alger,WA,Washington,48.6176,-122.3369,,,64.5
Roy,WA,Washington,46.9971,-122.5424,822,822,653
Snoqualmie,WA,Washington,47.5292,-121.8409,25455,13190,705
Fragaria,WA,Washington,47.464,-122.5312,,,164.3
Green Bluff,WA,Washington,47.819,-117.277,,,65.5
Woodmont Beach,WA,Washington,47.3615,-122.3121,,,1596.9
Frances,WA,Washington,46.5423,-123.5049,,,13.2
Lynden,WA,Washington,48.9502,-122.4542,16966,13952,1024
Clayton,WA,Washington,48.0012,-117.5611,,,125.4
Everson,WA,Washington,48.9124,-122.3509,4596,2634,774
White Swan,WA,Washington,46.3769,-120.7381,,,347.5
Camano,WA,Washington,48.1866,-122.4707,,,306.3
Cedar Grove,WA,Washington,47.4357,-122.0621,,,107.3
Winton,WA,Washington,47.7354,-120.7412,,,16.8
East Olympia,WA,Washington,46.9676,-122.8357,,,241.2
Sunset Beach,WA,Washington,47.2182,-122.5726,,,698.7
Belfair,WA,Washington,47.4512,-122.8473,,,257.3
Oso,WA,Washington,48.2837,-121.9238,,,72.7
Federal Way,WA,Washington,47.3091,-122.3358,96757,96757,1677
Scandia,WA,Washington,47.7165,-122.6579,,,292.5
Quilcene,WA,Washington,47.8369,-122.9058,,,119
Covada,WA,Washington,48.2204,-118.2089,,,1.9
Hartline,WA,Washington,47.6894,-119.1081,155,155,180
Juanita,WA,Washington,47.7032,-122.2071,,,3292.4
Molson,WA,Washington,48.981,-119.2006,,,5
Daisy,WA,Washington,48.3613,-118.16,,,21.8
Sumas,WA,Washington,48.9955,-122.2695,1409,1409,368
Mill Creek,WA,Washington,47.8631,-122.2037,20303,20303,1682
Lakewood,WA,Washington,47.1627,-122.5299,60665,60665,1363
Venersborg,WA,Washington,45.786,-122.4721,,,77
Port Angeles,WA,Washington,48.1141,-123.4565,23818,19833,715
Fairmont,WA,Washington,47.902,-122.2543,,,2665.2
Wapato,WA,Washington,46.4435,-120.4213,7723,5073,1658
East Port Orchard,WA,Washington,47.5192,-122.6183,,,961.3
North Omak,WA,Washington,48.444,-119.4459,,,5.3
East Farms,WA,Washington,47.7074,-117.0524,,,753
Eschbach,WA,Washington,46.667,-120.6337,,,231.1
Chattaroy,WA,Washington,47.8896,-117.3577,,,68.3
Inchelium,WA,Washington,48.3379,-118.2372,,,164.9
Maxwelton,WA,Washington,47.9373,-122.4443,,,194.6
White Center,WA,Washington,47.5086,-122.348,,,4133.9
Medical Lake,WA,Washington,47.5713,-117.6896,4825,4964,563
Lyman,WA,Washington,48.523,-122.0634,454,454,261
Arlington,WA,Washington,48.1698,-122.144,19112,19112,758
Ruston,WA,Washington,47.2982,-122.5104,816,816,1227
McCleary,WA,Washington,47.0584,-123.2725,1630,1630,307
Sammamish,WA,Washington,47.6045,-122.0446,63773,63773,1337
Covington,WA,Washington,47.3665,-122.105,20478,20478,1359
McMillin,WA,Washington,47.1286,-122.2374,,,245.2
La Grande,WA,Washington,46.8199,-122.2962,,,8.7
Cromwell,WA,Washington,47.2743,-122.6224,,,394.2
Berrydale,WA,Washington,47.3398,-122.1279,,,358.7
Wenatchee,WA,Washington,47.4251,-120.329,71426,33921,1667
Urban,WA,Washington,48.6179,-122.6921,,,2.8
Maplewood,WA,Washington,47.3715,-122.5689,,,153.7
Marys Corner,WA,Washington,46.5471,-122.8226,,,112.6
Mattawa,WA,Washington,46.7365,-119.9023,4961,4413,2289
Cove,WA,Washington,47.452,-122.5079,,,125.5
Chico,WA,Washington,47.6234,-122.7198,,,438.7
Maple Falls,WA,Washington,48.9135,-122.1049,,,154.4
Colvos,WA,Washington,47.4762,-122.4907,,,118.3
Ames Lake,WA,Washington,47.6346,-121.9664,,,379.3
Ellisforde,WA,Washington,48.7899,-119.4012,,,28.7
Pine Lake,WA,Washington,47.5787,-122.0462,,,1057.1
Tampico,WA,Washington,46.5325,-120.8727,,,35.6
Colton,WA,Washington,46.5677,-117.1284,466,466,304
Usk,WA,Washington,48.3138,-117.2797,,,120
Cle Elum,WA,Washington,47.1937,-120.9575,3685,1949,197
Omak,WA,Washington,48.4214,-119.5178,8208,4833,539
Harrington,WA,Washington,47.4799,-118.2555,401,401,405
Sedro-Woolley,WA,Washington,48.5095,-122.2344,11476,11476,1128
Cherry Grove,WA,Washington,45.8021,-122.5764,,,120.6
La Push,WA,Washington,47.9087,-124.6366,,,149.1
Lake Ketchum,WA,Washington,48.282,-122.348,,,352.6
Arletta,WA,Washington,47.2901,-122.6676,,,251.3
Opportunity,WA,Washington,47.6574,-117.2399,,,1210.6
Glenoma,WA,Washington,46.5146,-122.1601,,,30.1
Curlew,WA,Washington,48.8777,-118.6045,,,66.4
Midland,WA,Washington,47.1734,-122.412,,,783.9
Adna,WA,Washington,46.629,-123.0612,,,72
Roslyn,WA,Washington,47.2511,-121.0992,927,927,81
Deer Park,WA,Washington,47.9642,-117.4398,3780,3987,223
Tracyton,WA,Washington,47.6095,-122.6533,,,787.1
Hunts Point,WA,Washington,47.6418,-122.2289,439,439,552
Koontzville,WA,Washington,48.0157,-118.9472,,,27.6
Fruitland,WA,Washington,48.071,-118.1989,,,5.1
Chewelah,WA,Washington,48.2929,-117.7337,2635,2635,341
Mohler,WA,Washington,47.4049,-118.3291,,,4
East Renton Highlands,WA,Washington,47.4718,-122.0854,,,318.4
Sunnyside,WA,Washington,46.3159,-120.0058,17931,16411,843
Long Lake,WA,Washington,47.836,-117.8488,,,11.4
Wauna,WA,Washington,47.3862,-122.6692,,,429.3
Liberty,WA,Washington,47.2537,-120.6654,,,15
Normandy Park,WA,Washington,47.4344,-122.3436,6651,6651,1019
Parkwood,WA,Washington,47.5266,-122.5986,,,918.9
Jamestown,WA,Washington,48.1229,-123.0911,,,145.8
Forks,WA,Washington,47.9526,-124.3906,4219,3783,354
Wallula,WA,Washington,46.0847,-118.9056,,,213
SeaTac,WA,Washington,47.4444,-122.2985,28873,28873,1111
Royal City,WA,Washington,46.9,-119.6143,2196,2196,629
Beaux Arts Village,WA,Washington,47.5853,-122.2009,326,326,1515
Steilacoom,WA,Washington,47.1702,-122.5938,6309,6309,1191
Northport,WA,Washington,48.9158,-117.7799,290,290,193
Eldon,WA,Washington,47.5454,-123.046,,,9.2
Ridgefield,WA,Washington,45.8112,-122.7053,6318,7066,385
Ryderwood,WA,Washington,46.375,-123.0441,,,332.9
Manchester,WA,Washington,47.5519,-122.5517,,,870.2
Vashon Heights,WA,Washington,47.5057,-122.4654,,,492.3
Salmon Creek,WA,Washington,45.7099,-122.6632,,,406.7
Vantage,WA,Washington,46.9453,-119.9922,,,116
Creston,WA,Washington,47.7596,-118.5199,218,218,205
Soap Lake,WA,Washington,47.3884,-119.4905,1571,1571,467
Silver Firs,WA,Washington,47.8635,-122.1497,,,2275.3
Plaza,WA,Washington,47.3202,-117.3838,,,23.5
Machias,WA,Washington,47.9917,-122.0515,,,258.3
Neah Bay,WA,Washington,48.3612,-124.6115,,,1589.2
Malo,WA,Washington,48.7996,-118.612,,,27.2
Clyde Hill,WA,Washington,47.6303,-122.218,3268,3268,1195
Keyport,WA,Washington,47.6993,-122.6232,,,579.7
North Yelm,WA,Washington,46.9647,-122.6029,,,190.9
Grand Coulee,WA,Washington,47.9388,-119.003,1044,1044,324
Outlook,WA,Washington,46.3312,-120.0913,,,169.6
Clinton,WA,Washington,47.9731,-122.3577,,,487.7
Evans,WA,Washington,48.7135,-118.0253,,,20.2
Browns Point,WA,Washington,47.3036,-122.4369,,,1179.1
Kennewick,WA,Washington,46.1979,-119.1732,229624,80454,1134
North Marysville,WA,Washington,48.111,-122.1459,,,77.3
Beaver Valley,WA,Washington,47.9259,-122.7302,,,34.3
Ahtanum,WA,Washington,46.5581,-120.6058,,,323.4
Carbonado,WA,Washington,47.0805,-122.0537,663,663,614
Hyak,WA,Washington,47.3929,-121.3929,,,69.4
Arlington Heights,WA,Washington,48.2119,-122.0631,,,226.1
North Sultan,WA,Washington,47.8828,-121.8251,,,306.2
Pullman,WA,Washington,46.7327,-117.1634,33204,33282,1300
Longview,WA,Washington,46.1471,-122.9642,65156,37337,991
Adelaide,WA,Washington,47.3309,-122.3604,,,1388.4
Peaceful Valley,WA,Washington,48.9477,-122.1406,,,762.6
West Richland,WA,Washington,46.3115,-119.3996,14198,14198,249
Fife Heights,WA,Washington,47.2586,-122.3454,,,523.6
Manson,WA,Washington,47.8858,-120.1563,,,683.5
Sprague,WA,Washington,47.3003,-117.9757,427,427,261
Cosmopolis,WA,Washington,46.9541,-123.7727,1601,1601,464
Redondo,WA,Washington,47.3484,-122.3235,,,1190.8
Waller,WA,Washington,47.2035,-122.37,,,818.3
Addy,WA,Washington,48.3588,-117.8372,,,279.3
Matlock,WA,Washington,47.2379,-123.4079,,,1.4
Longbranch,WA,Washington,47.2257,-122.7739,,,97.4
North Bonneville,WA,Washington,45.6426,-121.9695,980,980,157
Pomeroy,WA,Washington,46.4739,-117.5971,1410,1410,306
Colville,WA,Washington,48.545,-117.8975,5088,4788,622
Palmer,WA,Washington,47.3143,-121.8923,,,36.7
Skyway,WA,Washington,47.4915,-122.2543,,,2440.5
Medina,WA,Washington,47.6257,-122.2338,3246,3246,866
Algona,WA,Washington,47.2819,-122.2504,3156,3156,939
Nine Mile Falls,WA,Washington,47.7757,-117.5461,,,53.5
Black Diamond,WA,Washington,47.313,-122.0181,4384,4384,258
Gold Bar,WA,Washington,47.8562,-121.6919,2131,2131,798
Mesa,WA,Washington,46.5736,-119.0013,486,486,114
Cavalero Corner,WA,Washington,47.9782,-122.1349,,,149.6
Lilliwaup,WA,Washington,47.4634,-123.1143,,,34.3
La Conner,WA,Washington,48.3925,-122.4945,3464,936,874
Sheridan Beach,WA,Washington,47.7448,-122.2882,,,2013
Lincoln,WA,Washington,47.829,-118.415,,,18.3
Markham,WA,Washington,46.9155,-123.9814,,,47.4
Eltopia,WA,Washington,46.4587,-119.0172,,,79.4
Stevenson,WA,Washington,45.6944,-121.8933,1527,1527,358
Greenwater,WA,Washington,47.1467,-121.6327,,,55.3
Copalis Beach,WA,Washington,47.1205,-124.1722,,,111.7
Roosevelt,WA,Washington,47.8923,-122.0123,,,106.3
La Crosse,WA,Washington,46.8027,-117.9014,317,317,157
Summit,WA,Washington,47.1694,-122.3629,,,647.3
Ohop,WA,Washington,46.9457,-122.1907,,,2.7
Malden,WA,Washington,47.2296,-117.4732,205,205,118
Beverly,WA,Washington,46.8368,-119.9331,,,205.8
Prosser,WA,Washington,46.2065,-119.7659,6040,6040,513
Lake Roesiger,WA,Washington,47.9839,-121.9129,,,11.9
Fern Prairie,WA,Washington,45.637,-122.3963,,,172.1
Maple Valley,WA,Washington,47.3664,-122.037,25698,25698,1731
Gifford,WA,Washington,48.3063,-118.1464,,,2.2
Auburn,WA,Washington,47.3039,-122.2108,77472,77472,1008
Burton,WA,Washington,47.389,-122.4607,,,438.4
Burlington,WA,Washington,48.4676,-122.3298,8768,8768,796
Carrolls,WA,Washington,46.0715,-122.8623,,,126.6
Bayne,WA,Washington,47.2951,-121.9096,,,10.2
East Cathlamet,WA,Washington,46.1968,-123.358,,,636.3
Purdy,WA,Washington,47.3938,-122.6114,,,379.3
Kapowsin,WA,Washington,46.9727,-122.2272,,,55.4
Ketron,WA,Washington,47.1569,-122.6343,,,1.9
Connell,WA,Washington,46.6627,-118.8403,5243,5414,265
Shore Acres,WA,Washington,47.3104,-122.5715,,,787
Clear Lake,WA,Washington,48.4561,-122.2378,,,370.7
Kittitas,WA,Washington,46.9844,-120.4198,1439,1439,765
Bucoda,WA,Washington,46.7969,-122.8679,575,575,388
Ardenvoir,WA,Washington,47.7373,-120.369,,,83.7
Ellisport,WA,Washington,47.4204,-122.4354,,,329.3
Bainbridge Island,WA,Washington,47.6439,-122.5434,24404,24404,341
Danville,WA,Washington,48.9938,-118.5068,,,13.7
Hazelwood,WA,Washington,47.5509,-122.1915,,,781.7
Holly,WA,Washington,47.5576,-122.9785,,,23.6
Valley,WA,Washington,48.173,-117.7244,,,111.2
Republic,WA,Washington,48.6485,-118.733,1069,1069,259
Odessa,WA,Washington,47.3326,-118.6893,869,869,408
Edgewood,WA,Washington,47.2309,-122.2832,10734,10734,492
Rice,WA,Washington,48.4288,-118.1703,,,13.4
Shoreline,WA,Washington,47.7563,-122.3425,55333,55333,1830
Cusick,WA,Washington,48.3327,-117.2963,208,208,152
Virginia,WA,Washington,47.7073,-122.6374,,,327.7
Concrete,WA,Washington,48.5371,-121.7511,724,724,238
Langley,WA,Washington,48.0336,-122.408,1097,1097,393
Othello,WA,Washington,46.8226,-119.1654,12324,8099,820
North City,WA,Washington,47.7557,-122.3135,,,2860.9
Hazel Dell,WA,Washington,45.6797,-122.6553,,,1388.9
Colfax,WA,Washington,46.9032,-117.3386,2806,2895,295
Metaline,WA,Washington,48.8539,-117.3898,172,172,215
Randle,WA,Washington,46.5351,-121.957,,,29.6
Millwood,WA,Washington,47.6858,-117.2805,1787,1787,983
Snoqualmie Pass,WA,Washington,47.4015,-121.411,,,78
Bangor,WA,Washington,47.7209,-122.746,,,240.9
Thorp,WA,Washington,47.0655,-120.6709,,,95.3
Tahlequah,WA,Washington,47.3326,-122.5073,,,179.8
Prescott,WA,Washington,46.2989,-118.3126,304,304,290
Buckley,WA,Washington,47.1614,-122.02,4682,4682,466
Dalkena,WA,Washington,48.2449,-117.2377,,,45.3
Leland,WA,Washington,47.8918,-122.8866,,,7.1
Fruitvale,WA,Washington,46.6179,-120.5531,,,513.9
Port Hadlock,WA,Washington,48.0318,-122.7582,,,187.6
University Place,WA,Washington,47.2146,-122.5461,33288,33288,1525
Morton,WA,Washington,46.5576,-122.2815,1145,1145,537
Deep River,WA,Washington,46.3523,-123.6983,,,8.6
Elberton,WA,Washington,46.9813,-117.2213,,,5.1
Kingston,WA,Washington,47.8014,-122.4989,,,402.1
Palouse,WA,Washington,46.9103,-117.0753,1045,1045,375
Vader,WA,Washington,46.4046,-122.9569,629,629,261
Donald,WA,Washington,46.4737,-120.3923,,,29.1
Miles,WA,Washington,47.9107,-118.2925,,,11.7
Asotin,WA,Washington,46.3372,-117.043,1295,1295,477
Joyce,WA,Washington,48.1365,-123.7341,,,48.1
Eagledale,WA,Washington,47.6143,-122.5154,,,447.1
Port Ludlow,WA,Washington,47.9101,-122.7006,,,598.8
Loomis,WA,Washington,48.8235,-119.6398,,,154.6
New London,WA,Washington,47.0573,-123.9271,,,22.5
Desert Aire,WA,Washington,46.6873,-119.9311,,,367.3
Poulsbo,WA,Washington,47.7417,-122.6408,10400,10400,846
Cedonia,WA,Washington,48.1538,-118.1692,,,22.2
Union,WA,Washington,47.3475,-123.0952,,,196.1
Suquamish,WA,Washington,47.7236,-122.5831,,,1418.8
Deep Creek,WA,Washington,47.6429,-117.7122,,,20.5
Yoman,WA,Washington,47.1865,-122.7062,,,15.4
Cordell,WA,Washington,48.8665,-119.412,,,7.7
Hoquiam,WA,Washington,46.9857,-123.9006,8434,8434,358
Nespelem,WA,Washington,48.1669,-118.9724,283,283,569
Ephrata,WA,Washington,47.3119,-119.5342,7289,8032,299
Kent,WA,Washington,47.3887,-122.2128,127514,127514,1459
Mukilteo,WA,Washington,47.9096,-122.3035,21462,21462,1306
Boise,WA,Washington,47.1804,-122.0157,,,118
Kirkland,WA,Washington,47.6996,-122.1982,87701,87701,1900
Waitsburg,WA,Washington,46.2696,-118.1499,1187,1187,411
Ridgecrest,WA,Washington,47.7473,-122.3179,,,2379.9
Freeman,WA,Washington,47.5182,-117.1958,,,7.3
Dallesport,WA,Washington,45.6316,-121.1749,,,220.6
Redmond,WA,Washington,47.6776,-122.1176,62458,62458,1464
Wilkeson,WA,Washington,47.1034,-122.0496,492,492,404
Sisco Heights,WA,Washington,48.1187,-122.1076,,,102.6
Lewisville,WA,Washington,45.8124,-122.5146,,,123.3
Kennard Corner,WA,Washington,47.8201,-122.2076,,,2936.7
Benge,WA,Washington,46.9093,-118.1025,,,10.5
Granger,WA,Washington,46.3459,-120.1928,3493,3720,800
Yarrow Point,WA,Washington,47.6452,-122.2178,1096,1096,1135
Lost Creek,WA,Washington,48.6094,-117.3636,,,15.2
Moxee City,WA,Washington,46.5537,-120.3831,,,2666.3
Hockinson,WA,Washington,45.7302,-122.4833,,,237.5
Oakville,WA,Washington,46.8402,-123.2348,665,665,517
Tukwila,WA,Washington,47.4749,-122.2727,20033,20033,843
Mabana,WA,Washington,48.0945,-122.4151,,,209
Kangley,WA,Washington,47.3618,-121.8801,,,49.9
Clallam Bay,WA,Washington,48.2536,-124.2579,,,313.1
Newport,WA,Washington,48.1791,-117.0546,2608,2118,603
Enetai,WA,Washington,47.5884,-122.6056,,,540.5
Clearview,WA,Washington,47.8292,-122.1452,,,249.5
Sahalee,WA,Washington,47.6348,-122.0554,,,602.5
Yelm,WA,Washington,46.9398,-122.6261,16125,8915,605
Midway,WA,Washington,47.3048,-122.5896,,,1083.6
Olympia,WA,Washington,47.0417,-122.8958,194532,51202,1086
Endicott,WA,Washington,46.928,-117.6865,291,291,392
Lind,WA,Washington,46.9706,-118.614,550,550,198
Fife,WA,Washington,47.2327,-122.3519,10103,10103,686
Newport Hills,WA,Washington,47.5409,-122.1765,,,1462.4
Upper Preston,WA,Washington,47.5051,-121.9076,,,153.1
Pateros,WA,Washington,48.0555,-119.9,688,688,541
Nordland,WA,Washington,48.0509,-122.691,,,72.6
Tyler,WA,Washington,47.436,-117.7835,,,9.9
Camden,WA,Washington,48.0474,-117.2399,,,18.4
Rockport,WA,Washington,48.4854,-121.6065,,,144.1
Port Orchard,WA,Washington,47.516,-122.6616,13945,13945,556
Preston,WA,Washington,47.5237,-121.9271,,,160.2
Tieton,WA,Washington,46.7027,-120.756,1276,1276,554
Rochester,WA,Washington,46.8287,-123.0721,,,437
Bingen,WA,Washington,45.7151,-121.4695,722,722,449
Harbour Pointe,WA,Washington,47.8857,-122.3051,,,2484.9
Wellpinit,WA,Washington,47.8879,-117.988,,,109.9
Glacier,WA,Washington,48.8902,-121.9323,,,18.9
Farmington,WA,Washington,47.0887,-117.0464,156,156,176
